subject2,WhiteDirectMean,BlackDirectMean,WhiteIndirectMean,BlackIndirectMean,Indirect,Direct,IndirectR,DirectR,Condition,age,ethnicity,gender,Site,USvIT,ConditionF,USvITF
603,2.6666666666666665,2.8333333333333335,3,2.9166666666666665,0.08333333333333348,-0.16666666666666696,1.0285714285714287,0.9411764705882352,-1,18,"White, non-Hispanic or Latino",1,UCF,-1,-1,-1
604,1.9166666666666667,2.3333333333333335,2.2083333333333335,2.7916666666666665,-0.583333333333333,-0.41666666666666674,0.791044776119403,0.8214285714285714,1,18,Other,1,UCF,-1,1,-1
605,2.5833333333333335,2.3333333333333335,2.5833333333333335,2.0833333333333335,0.5,0.25,1.24,1.1071428571428572,-1,21,Latino or Hispanic,2,UCF,-1,-1,-1
606,2.5,2,2.5416666666666665,2.1666666666666665,0.375,0.5,1.1730769230769231,1.25,1,20,Multiracial,1,UCF,-1,1,-1
607,3,3.1666666666666665,2.7916666666666665,2.9583333333333335,-0.16666666666666696,-0.16666666666666652,0.9436619718309858,0.9473684210526316,-1,20,African-American,2,UCF,-1,-1,-1
608,3.25,3,3.4583333333333335,3.4583333333333335,0,0.25,1,1.0833333333333333,1,21,"White, non-Hispanic or Latino",1,UCF,-1,1,-1
609,2.5,2.5,3.0416666666666665,2.6666666666666665,0.375,0,1.140625,1,-1,22,"White, non-Hispanic or Latino",1,UCF,-1,-1,-1
611,2.9166666666666665,2.5,3.2916666666666665,3.1666666666666665,0.125,0.4166666666666665,1.0394736842105263,1.1666666666666665,-1,19,"White, non-Hispanic or Latino",2,UCF,-1,-1,-1
612,2.6666666666666665,2.5833333333333335,2.4166666666666665,2.5,-0.08333333333333348,0.08333333333333304,0.9666666666666666,1.032258064516129,1,19,"White, non-Hispanic or Latino",1,UCF,-1,1,-1
613,2.5833333333333335,2.75,1.9583333333333333,2.125,-0.16666666666666674,-0.16666666666666652,0.9215686274509803,0.9393939393939394,-1,20,Latino or Hispanic,1,UCF,-1,-1,-1
614,2.4166666666666665,2.5833333333333335,2.75,2.8333333333333335,-0.08333333333333348,-0.16666666666666696,0.9705882352941176,0.9354838709677418,1,20,"White, non-Hispanic or Latino",1,UCF,-1,1,-1
619,2.4166666666666665,2.3333333333333335,3.75,3.7916666666666665,-0.04166666666666652,0.08333333333333304,0.989010989010989,1.0357142857142856,-1,18,"White, non-Hispanic or Latino",1,UCF,-1,-1,-1
620,2.5833333333333335,2.5,2.0416666666666665,2.125,-0.08333333333333348,0.08333333333333348,0.9607843137254901,1.0333333333333334,1,18,"White, non-Hispanic or Latino",2,UCF,-1,1,-1
621,2.1666666666666665,2.8333333333333335,1.6666666666666667,1.5416666666666667,0.125,-0.666666666666667,1.0810810810810811,0.7647058823529411,-1,18,"White, non-Hispanic or Latino",1,UCF,-1,-1,-1
630,3.0833333333333335,2.4166666666666665,2.7916666666666665,2.5833333333333335,0.20833333333333304,0.666666666666667,1.0806451612903225,1.2758620689655173,1,21,"White, non-Hispanic or Latino",2,UCF,-1,1,-1
631,2.6666666666666665,2.4166666666666665,2.5416666666666665,2.375,0.16666666666666652,0.25,1.0701754385964912,1.103448275862069,-1,23,African-American,1,UCF,-1,-1,-1
632,2.6666666666666665,2.8333333333333335,2.9583333333333335,2.9583333333333335,0,-0.16666666666666696,1,0.9411764705882352,1,19,"White, non-Hispanic or Latino",2,UCF,-1,1,-1
633,2.8333333333333335,2.6666666666666665,3.875,3.9583333333333335,-0.08333333333333348,0.16666666666666696,0.9789473684210526,1.0625000000000002,-1,19,African-American,2,UCF,-1,-1,-1
634,3,3.1666666666666665,3.4166666666666665,3.0416666666666665,0.375,-0.16666666666666652,1.1232876712328768,0.9473684210526316,1,26,"White, non-Hispanic or Latino",1,UCF,-1,1,-1
635,2.75,2.75,2.9166666666666665,3,-0.08333333333333348,0,0.9722222222222222,1,-1,20,"White, non-Hispanic or Latino",1,UCF,-1,-1,-1
637,3.9166666666666665,4,3.625,4,-0.375,-0.08333333333333348,0.90625,0.9791666666666666,-1,18,African-American,2,UCF,-1,-1,-1
638,2.6666666666666665,3,2.7916666666666665,2.75,0.04166666666666652,-0.3333333333333335,1.0151515151515151,0.8888888888888888,1,20,"White, non-Hispanic or Latino",1,UCF,-1,1,-1
671,2.5,2,2.380952380952381,2.2857142857142856,0.09523809523809534,0.5,1.0416666666666667,1.25,-1,19,"White, non-Hispanic or Latino",2,UCF,-1,-1,-1
673,2.5,2.5,2.625,3.0833333333333335,-0.4583333333333335,0,0.8513513513513513,1,-1,18,"White, non-Hispanic or Latino",1,UCF,-1,-1,-1
674,2.1666666666666665,2.4166666666666665,2.3333333333333335,2.4583333333333335,-0.125,-0.25,0.9491525423728814,0.896551724137931,1,18,African-American,2,UCF,-1,1,-1
675,2.5833333333333335,2.5,3.5,3.4166666666666665,0.08333333333333348,0.08333333333333348,1.024390243902439,1.0333333333333334,-1,20,Asian-American,2,UCF,-1,-1,-1
676,2.5,2.4166666666666665,2.2916666666666665,2.5833333333333335,-0.29166666666666696,0.08333333333333348,0.8870967741935483,1.0344827586206897,1,18,"White, non-Hispanic or Latino",1,UCF,-1,1,-1
677,3,3.3333333333333335,3.7083333333333335,4,-0.2916666666666665,-0.3333333333333335,0.9270833333333334,0.8999999999999999,-1,19,Latino or Hispanic,2,UCF,-1,-1,-1
